division_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id
50,1996.835571,1997.243896,Y,15-49,DHS,MW,0.415627983,0.076786461,NA,NA,0.197996259,N,NA,N,,N,NA,None,None,N,NA,N,0.008352395,0.003945541,0.005940084,0.036221929,0.059001665,0.037284805,1815,Y_910
50,1999.832886,2000.246582,Y,15-49,DHS,MW,0.434698454,0.103014461,NA,NA,0.184725646,N,NA,N,,N,NA,None,None,N,NA,N,0.008342204,0.004470195,0.005654986,0.035847325,0.051212918,0.037285697,1816,Y_911
404,1988.917847,1989.411011,Y,15-49,DHS,MW,0.178710205,0.090358635,NA,NA,0.38,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,1822,Y_914
404,1993.084961,1993.662964,Y,15-49,DHS,MW,0.272965449,0.054507359,NA,NA,0.353043937,N,NA,N,,N,NA,None,None,N,NA,N,0.011479359,0.004266835,0.009816168,0.061320938,0.086869799,0.047361477,1823,Y_915
404,1998.084961,1998.578125,Y,15-49,DHS,MW,0.314670691,0.075052312,NA,NA,0.279913603,N,NA,N,,N,NA,None,None,N,NA,N,0.010743375,0.005091101,0.008931445,0.050392379,0.073940021,0.044927051,1824,Y_916
586,1990.915039,1991.411011,Y,15-49,DHS,MW,0.090144871,0.028275206,NA,NA,0.304718252,N,NA,N,,N,NA,None,None,N,NA,N,0.005338945,0.00323782,0.008589459,0.065617577,0.118721385,0.044041156,1827,Y_919
566,1999.161621,1999.411011,Y,15-49,DHS,MW,0.084814979,0.067094299,NA,NA,0.199047536,N,NA,N,,N,NA,None,None,N,NA,N,0.005791961,0.003699955,0.005227418,0.074205517,0.061229433,0.035354674,1828,Y_920
454,2000.498657,2000.915039,Y,15-49,DHS,MW,0.261180838,0.045310937,NA,NA,0.299461978,N,NA,N,,N,NA,None,None,N,NA,N,0.007607657,0.002705242,0.006016694,0.038856214,0.060504204,0.029104999,1833,Y_925
454,1992.668457,1992.915039,Y,15-49,DHS,MW,0.073595633,0.056471485,NA,NA,0.365150694,N,NA,N,,N,NA,None,None,N,NA,N,0.00576808,0.004788354,0.009935008,0.084788193,0.090063398,0.046281492,1834,Y_926
834,2004.750732,2005.158936,Y,15-49,DHS,MW,0.199835847,0.063784757,NA,NA,0.242647825,N,NA,N,,N,NA,None,None,N,NA,N,0.010234947,0.005859975,0.007679115,0.065310692,0.100287051,0.043592625,1838,Y_930
50,2007.161621,2007.662964,Y,15-49,DHS,MW,0.474569304,0.083333951,NA,NA,0.167874589,N,NA,N,,N,NA,None,None,N,NA,N,0.008123493,0.003673924,0.005328499,0.034578216,0.051463823,0.039499422,1840,Y_931
586,1996,1998,Y,15-49,National survey,MW,0.169,0.07,NA,NA,0.375,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,1841,Y_932
586,2000.750732,2001,Y,15-49,National survey,MW,0.2021,0.0739,NA,NA,0.33,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,1842,Y_933
454,2006.534302,2006.871216,Y,15-49,MICS,MW,0.386341327,0.023821437,NA,0.023821437,NA,N,NA,N,,N,NA,None,None,N,NA,Y,0.006235768,0.001621813,0,0.026229309,0.06921681,NA,1845,Y_936
524,2006.084961,2006.662964,Y,15-49,DHS,MW,0.442138779,0.03741749,NA,NA,0.246913003,N,NA,N,,N,NA,None,None,N,NA,N,0.019227327,0.003230848,0.01072853,0.07913028,0.090805612,0.039821193,1851,Y_940
478,2000.583618,2001.32605,Y,15-49,DHS,MW,0.054428553,0.025387419,NA,NA,0.320752463,N,NA,N,,N,NA,None,None,N,NA,N,0.006253012,0.00356095,0.011895381,0.121496025,0.143862929,0.056671019,1853,Y_942
